device_id,ph,turbidity_ntu,tds_ppm,water_quality_category
soil-water-monitor-3,3.01,94.49,2358.9,Critical
soil-water-monitor-3,6.61,1.08,416.1,Safe
soil-water-monitor-3,6.56,3.23,812.9,Moderate
soil-water-monitor-1,,30.48,1649.2,Critical
soil-water-monitor-3,6.51,0.0,451.8,Safe
soil-water-monitor-2,7.47,1.79,222.3,Safe
soil-water-monitor-2,4.69,16.49,1386.3,Critical
soil-water-monitor-2,4.77,32.81,1034.2,Critical
soil-water-monitor-2,6.92,89.33,2366.9,Unsafe
soil-water-monitor-3,7.05,1.05,231.9,Safe
soil-water-monitor-1,8.22,1.07,360.0,Safe
soil-water-monitor-1,6.66,9.24,557.3,Moderate
soil-water-monitor-2,8.15,2.22,253.0,Safe
soil-water-monitor-3,3.21,67.11,2434.6,Critical
soil-water-monitor-1,7.59,5.19,151.0,Safe
soil-water-monitor-2,5.58,8.25,711.8,Unsafe
soil-water-monitor-3,6.82,3.37,360.1,Safe
soil-water-monitor-3,6.99,6.27,220.8,Safe
soil-water-monitor-2,6.46,29.88,1016.1,Unsafe
soil-water-monitor-2,7.25,7.5,680.2,Moderate
soil-water-monitor-1,7.15,3.08,259.8,Safe
soil-water-monitor-3,6.88,0.0,369.3,Safe
soil-water-monitor-1,7.14,3.17,294.0,Safe
soil-water-monitor-3,6.16,1.31,185.2,Safe
soil-water-monitor-1,6.83,0.1,301.7,Safe
soil-water-monitor-2,7.38,2.43,195.0,Safe
soil-water-monitor-3,7.11,0.52,240.5,Safe
soil-water-monitor-2,6.12,19.45,1283.8,Unsafe
soil-water-monitor-2,7.54,3.03,238.7,Safe
soil-water-monitor-1,7.94,3.62,175.3,Safe
soil-water-monitor-3,4.85,3.45,935.3,Unsafe
soil-water-monitor-3,7.56,0.09,189.7,Safe
soil-water-monitor-3,6.39,1.39,314.3,Safe
soil-water-monitor-1,7.83,0.93,179.3,Safe
soil-water-monitor-1,7.73,0.36,205.6,Safe
soil-water-monitor-1,6.15,7.53,586.8,Moderate
soil-water-monitor-3,7.35,4.23,389.9,Safe
soil-water-monitor-3,7.27,5.95,845.5,Moderate
soil-water-monitor-2,7.3,1.96,320.7,Safe
soil-water-monitor-1,5.77,18.78,950.9,Unsafe
soil-water-monitor-1,6.51,0.65,224.7,Safe
soil-water-monitor-1,7.31,1.39,412.4,Safe
soil-water-monitor-2,7.08,5.67,597.1,Safe
soil-water-monitor-1,5.85,1.46,147.0,Moderate
soil-water-monitor-2,7.31,9.34,567.1,Moderate
soil-water-monitor-2,4.45,10.67,1585.0,Critical
soil-water-monitor-3,4.49,96.78,2574.0,Critical
soil-water-monitor-3,6.64,5.19,642.4,Moderate
soil-water-monitor-1,7.58,1.03,195.7,Safe
soil-water-monitor-2,7.55,1.87,247.7,Safe
soil-water-monitor-2,7.43,2.51,227.6,Safe
soil-water-monitor-1,6.73,0.0,403.1,Safe
soil-water-monitor-3,6.82,0.65,224.9,Safe
soil-water-monitor-2,7.37,0.0,441.5,Safe
soil-water-monitor-2,6.25,4.3,361.2,Safe
soil-water-monitor-3,6.55,7.99,619.4,Moderate
soil-water-monitor-1,4.5,54.68,779.5,Critical
soil-water-monitor-1,5.71,67.84,1654.6,Critical
soil-water-monitor-2,7.42,1.9,485.4,Safe
soil-water-monitor-2,5.44,23.73,1668.9,Critical
soil-water-monitor-1,6.31,8.4,355.4,Moderate
soil-water-monitor-2,7.48,2.63,436.0,Safe
soil-water-monitor-1,6.78,7.71,1001.0,Moderate
soil-water-monitor-2,6.87,11.53,613.9,Moderate
soil-water-monitor-1,6.7,6.69,877.0,Moderate
soil-water-monitor-1,5.97,6.4,507.5,Moderate
soil-water-monitor-2,5.96,6.28,813.5,Moderate
soil-water-monitor-2,5.1,11.76,1100.5,Critical
soil-water-monitor-3,7.77,1.61,154.4,Safe
soil-water-monitor-2,6.59,6.34,802.7,Moderate
soil-water-monitor-1,,5.8,884.2,Moderate
soil-water-monitor-1,3.55,62.03,2440.2,Critical
soil-water-monitor-1,5.38,117.25,1839.3,Critical
soil-water-monitor-3,6.5,14.96,1388.4,Unsafe
soil-water-monitor-2,6.24,3.93,689.6,Moderate
soil-water-monitor-1,7.19,0.0,294.9,Safe
soil-water-monitor-2,6.62,6.44,594.6,Moderate
soil-water-monitor-2,6.38,3.52,744.1,Moderate
soil-water-monitor-2,7.17,0.4,355.5,Safe
soil-water-monitor-1,6.25,3.43,685.7,Moderate
soil-water-monitor-2,7.7,1.7,380.9,Safe
soil-water-monitor-3,4.21,90.03,2990.2,Critical
soil-water-monitor-2,8.05,3.77,197.2,Safe
soil-water-monitor-1,3.88,52.61,2412.2,Critical
soil-water-monitor-2,7.15,22.92,1577.4,Unsafe
soil-water-monitor-1,4.72,69.93,2653.5,Critical
soil-water-monitor-2,5.32,29.01,2592.8,Critical
soil-water-monitor-1,6.15,10.85,568.3,Unsafe
soil-water-monitor-2,7.98,2.57,382.6,Safe
soil-water-monitor-3,6.43,6.9,772.3,Moderate
soil-water-monitor-3,6.65,2.63,156.1,Safe
soil-water-monitor-2,6.68,4.14,588.2,Safe
soil-water-monitor-1,7.57,1.34,341.2,Safe
soil-water-monitor-1,6.9,1.84,265.2,Safe
soil-water-monitor-1,5.89,31.17,1687.4,Unsafe
soil-water-monitor-3,7.09,1.24,146.1,Safe
soil-water-monitor-1,7.17,3.38,289.8,Safe
soil-water-monitor-3,4.97,59.54,2795.5,Critical
soil-water-monitor-1,7.08,2.89,343.9,Safe
soil-water-monitor-2,7.86,0.01,179.0,Safe
soil-water-monitor-3,6.41,31.25,1000.1,Unsafe
soil-water-monitor-3,3.62,74.2,3544.0,Critical
soil-water-monitor-1,6.35,3.44,673.4,Moderate
soil-water-monitor-1,7.26,2.03,397.3,Safe
soil-water-monitor-1,5.97,8.17,644.8,Unsafe
soil-water-monitor-2,7.94,5.59,570.5,Moderate
soil-water-monitor-2,7.94,1.96,276.4,Safe
soil-water-monitor-2,,8.1,652.8,Moderate
soil-water-monitor-3,6.97,9.65,613.8,Moderate
soil-water-monitor-1,7.14,4.03,764.0,Moderate
soil-water-monitor-3,7.91,4.98,262.7,Safe
soil-water-monitor-2,7.06,3.11,270.6,Safe
soil-water-monitor-1,5.45,18.1,1439.4,Critical
soil-water-monitor-3,6.74,6.65,605.7,Moderate
soil-water-monitor-2,5.51,33.24,1102.9,Unsafe
soil-water-monitor-3,7.47,5.63,210.5,Safe
soil-water-monitor-3,5.87,29.36,1041.4,Unsafe
soil-water-monitor-1,6.87,3.12,269.1,Safe
soil-water-monitor-1,4.72,19.32,1766.2,Critical
soil-water-monitor-3,6.82,5.17,471.6,Safe
soil-water-monitor-3,6.98,3.12,216.4,Safe
soil-water-monitor-3,7.27,0.81,263.3,Safe
soil-water-monitor-3,6.55,6.03,158.8,Safe
soil-water-monitor-3,7.75,1.25,163.8,Safe
soil-water-monitor-1,7.1,2.52,214.9,Safe
soil-water-monitor-2,7.19,3.41,530.8,Safe
soil-water-monitor-2,7.25,3.01,394.9,Safe
soil-water-monitor-2,6.55,8.49,1002.8,Moderate
soil-water-monitor-1,5.91,7.34,645.5,Unsafe
soil-water-monitor-1,7.38,3.01,217.4,Safe
soil-water-monitor-3,6.85,1.09,381.0,Safe
soil-water-monitor-2,5.0,22.52,1397.7,Critical
soil-water-monitor-2,6.44,4.66,459.0,Safe
soil-water-monitor-1,7.56,0.0,414.9,Safe
soil-water-monitor-1,7.63,1.13,294.7,Safe
soil-water-monitor-2,7.26,2.2,133.8,Safe
soil-water-monitor-3,6.62,9.57,857.7,Moderate
soil-water-monitor-1,6.34,7.41,783.4,Moderate
soil-water-monitor-1,5.36,36.57,1353.2,Critical
soil-water-monitor-3,7.32,5.72,613.1,Moderate
soil-water-monitor-3,6.78,92.59,1734.7,Unsafe
soil-water-monitor-3,6.81,2.75,259.6,Safe
soil-water-monitor-1,7.11,8.54,550.8,Moderate
soil-water-monitor-3,6.27,15.86,1091.5,Unsafe
soil-water-monitor-3,6.71,3.29,534.7,Moderate
soil-water-monitor-3,6.53,38.04,1302.7,Unsafe
soil-water-monitor-1,6.57,16.93,2157.1,Unsafe
soil-water-monitor-2,6.55,12.3,1010.4,Moderate
soil-water-monitor-2,5.69,105.17,2295.4,Critical
soil-water-monitor-3,5.87,18.83,761.7,Unsafe
soil-water-monitor-1,7.18,7.64,663.1,Moderate
soil-water-monitor-2,6.34,10.24,444.9,Moderate
soil-water-monitor-1,6.86,23.84,1749.8,Unsafe
soil-water-monitor-3,2.7,61.27,2357.6,Critical
soil-water-monitor-2,5.57,5.78,590.4,Unsafe
soil-water-monitor-2,7.26,0.58,433.6,Safe
soil-water-monitor-3,7.7,8.82,784.1,Moderate
soil-water-monitor-3,7.55,2.61,114.3,Safe
soil-water-monitor-3,7.5,6.9,205.7,Safe
soil-water-monitor-2,6.02,9.99,508.0,Moderate
soil-water-monitor-2,5.51,24.63,1351.3,Unsafe
soil-water-monitor-2,7.16,0.72,138.4,Safe
soil-water-monitor-1,5.61,10.52,531.9,Unsafe
soil-water-monitor-2,7.48,9.22,1199.9,Moderate
soil-water-monitor-2,5.61,12.07,1230.4,Unsafe
soil-water-monitor-2,6.22,7.4,665.5,Moderate
soil-water-monitor-3,6.62,10.62,639.1,Moderate
soil-water-monitor-1,6.17,5.63,758.7,Moderate
soil-water-monitor-2,6.73,0.0,375.7,Safe
soil-water-monitor-2,7.32,0.0,178.1,Safe
soil-water-monitor-1,6.94,0.0,491.6,Safe
soil-water-monitor-2,7.64,4.44,204.2,Safe
soil-water-monitor-3,3.32,56.99,3064.3,Critical
soil-water-monitor-3,7.1,6.37,388.6,Safe
soil-water-monitor-2,7.58,2.32,152.3,Safe
soil-water-monitor-3,6.9,3.42,395.1,Safe
soil-water-monitor-3,7.3,1.44,163.4,Safe
soil-water-monitor-2,7.66,2.1,295.2,Safe
soil-water-monitor-1,7.51,0.9,360.0,Safe
soil-water-monitor-3,6.67,27.74,1263.9,Unsafe
soil-water-monitor-2,7.89,3.99,354.6,Safe
soil-water-monitor-3,6.08,8.06,670.3,Moderate
soil-water-monitor-3,7.03,6.36,156.3,Safe
soil-water-monitor-1,7.54,3.8,330.6,Safe
soil-water-monitor-1,7.11,5.73,930.5,Moderate
soil-water-monitor-2,7.59,2.95,172.9,Safe
soil-water-monitor-3,5.81,6.79,725.7,Unsafe
soil-water-monitor-1,7.06,10.18,431.0,Safe
soil-water-monitor-3,5.61,26.23,1115.2,Unsafe
soil-water-monitor-3,6.33,8.68,794.5,Moderate
soil-water-monitor-1,5.65,16.43,1296.4,Unsafe
soil-water-monitor-2,6.85,0.91,374.6,Safe
soil-water-monitor-2,6.76,1.2,320.8,Safe
soil-water-monitor-1,5.43,7.14,762.3,Unsafe
soil-water-monitor-1,7.42,0.67,170.9,Safe
soil-water-monitor-3,7.07,9.62,676.6,Moderate
soil-water-monitor-1,6.94,3.05,243.3,Safe
soil-water-monitor-2,7.26,7.8,598.5,Moderate
soil-water-monitor-1,6.79,0.0,451.4,Safe
soil-water-monitor-1,7.39,9.05,798.8,Moderate
soil-water-monitor-1,7.45,3.35,364.4,Safe
soil-water-monitor-2,6.28,24.94,2602.1,Unsafe
soil-water-monitor-3,6.15,28.25,1015.0,Unsafe
soil-water-monitor-2,7.14,1.0,293.8,Safe
soil-water-monitor-1,6.15,2.63,363.1,Safe
soil-water-monitor-1,7.98,0.0,218.0,Safe
soil-water-monitor-2,5.94,11.75,1843.5,Unsafe
soil-water-monitor-1,4.9,51.96,1562.4,Critical
soil-water-monitor-3,7.03,2.16,327.8,Safe
soil-water-monitor-3,7.92,2.22,274.2,Safe
soil-water-monitor-1,6.77,8.06,691.2,Moderate
soil-water-monitor-3,7.51,6.09,179.4,Safe
soil-water-monitor-1,6.97,10.73,766.7,Moderate
soil-water-monitor-3,7.22,0.46,256.3,Safe
soil-water-monitor-2,7.63,3.28,421.3,Safe
soil-water-monitor-2,7.38,0.02,253.5,Safe
soil-water-monitor-2,6.99,0.0,212.7,Safe
soil-water-monitor-1,7.3,10.25,679.6,Moderate
soil-water-monitor-2,6.99,0.0,214.6,Safe
soil-water-monitor-3,7.01,25.14,1783.0,Unsafe
soil-water-monitor-1,7.8,1.88,331.8,Safe
soil-water-monitor-1,7.35,1.75,192.7,Safe
soil-water-monitor-3,7.77,0.0,179.2,Safe
soil-water-monitor-1,5.64,56.64,1856.8,Critical
soil-water-monitor-2,7.55,2.74,173.0,Safe
soil-water-monitor-3,7.05,5.1,641.8,Moderate
soil-water-monitor-3,7.73,1.73,168.7,Safe
soil-water-monitor-1,7.02,2.65,307.3,Safe
soil-water-monitor-1,7.48,1.91,205.5,Safe
soil-water-monitor-2,6.88,1.88,277.4,Safe
soil-water-monitor-3,6.22,19.6,1495.5,Unsafe
soil-water-monitor-1,6.93,7.36,722.1,Moderate
soil-water-monitor-3,7.52,2.86,250.8,Safe
soil-water-monitor-1,5.09,3.83,684.3,Unsafe
soil-water-monitor-1,7.43,2.69,187.4,Safe
soil-water-monitor-2,5.89,2.92,473.8,Moderate
soil-water-monitor-2,5.06,19.8,1458.2,Critical
soil-water-monitor-2,7.73,2.49,331.8,Safe
soil-water-monitor-2,7.34,6.83,945.6,Moderate
soil-water-monitor-3,6.82,6.06,614.3,Moderate
soil-water-monitor-3,5.35,15.46,2196.2,Critical
soil-water-monitor-1,7.03,4.24,300.1,Safe
soil-water-monitor-1,4.49,41.9,1482.8,Critical
soil-water-monitor-1,7.1,2.49,328.3,Safe
soil-water-monitor-1,7.44,1.53,152.7,Safe
soil-water-monitor-3,6.73,2.27,158.7,Safe
soil-water-monitor-2,7.33,4.41,357.6,Safe
soil-water-monitor-1,7.3,9.13,577.1,Moderate
soil-water-monitor-2,6.44,5.6,636.2,Moderate
soil-water-monitor-2,7.36,3.01,252.4,Safe
soil-water-monitor-2,7.41,1.59,459.7,Safe
soil-water-monitor-3,7.1,0.0,256.7,Safe
soil-water-monitor-3,6.44,4.45,590.9,Moderate
soil-water-monitor-2,6.17,19.03,906.9,Unsafe
soil-water-monitor-1,4.32,95.09,2494.9,Critical
soil-water-monitor-1,5.24,18.21,1396.8,Critical
soil-water-monitor-2,7.59,4.44,248.0,Safe
soil-water-monitor-3,6.05,5.3,611.0,Moderate
soil-water-monitor-1,7.48,6.89,677.5,Moderate
soil-water-monitor-3,5.39,29.01,1012.5,Critical
soil-water-monitor-3,6.94,7.92,479.7,Safe
soil-water-monitor-1,6.33,8.23,859.3,Moderate
soil-water-monitor-1,7.0,33.24,1051.6,Unsafe
soil-water-monitor-3,6.83,10.31,623.0,Moderate
soil-water-monitor-1,7.37,0.67,500.2,Safe
soil-water-monitor-1,5.84,7.38,671.1,Unsafe
soil-water-monitor-3,7.5,3.88,266.6,Safe
soil-water-monitor-2,6.91,2.44,307.7,Safe
soil-water-monitor-1,7.2,1.19,452.9,Safe
soil-water-monitor-1,6.16,17.26,1098.7,Unsafe
soil-water-monitor-3,7.97,1.29,267.3,Safe
soil-water-monitor-3,6.52,10.6,523.5,Moderate
soil-water-monitor-1,4.39,80.59,1456.5,Critical
soil-water-monitor-1,7.33,2.11,216.1,Safe
soil-water-monitor-2,7.2,3.59,281.1,Safe
soil-water-monitor-1,7.07,0.93,366.2,Safe
soil-water-monitor-3,6.91,2.52,246.2,Safe
soil-water-monitor-3,7.27,1.88,273.1,Safe
soil-water-monitor-3,7.61,2.97,348.1,Safe
soil-water-monitor-3,2.3,42.04,2849.8,Critical
soil-water-monitor-3,5.24,143.09,4634.5,Critical
soil-water-monitor-3,4.02,86.99,2085.0,Critical
soil-water-monitor-3,6.62,11.73,336.1,Moderate
soil-water-monitor-2,7.58,1.7,171.6,Safe
soil-water-monitor-1,6.55,14.69,1680.3,Unsafe
soil-water-monitor-3,7.77,1.52,442.7,Safe
soil-water-monitor-2,7.22,2.86,215.6,Safe
soil-water-monitor-1,8.08,0.85,160.5,Safe
soil-water-monitor-3,,3.95,727.8,Safe
soil-water-monitor-2,7.2,3.08,318.6,Safe
soil-water-monitor-3,4.33,82.44,1987.6,Critical
soil-water-monitor-3,6.89,3.21,337.0,Safe
soil-water-monitor-3,6.36,8.97,492.1,Moderate
soil-water-monitor-3,7.0,4.37,563.2,Safe
soil-water-monitor-1,6.76,6.21,745.7,Moderate
soil-water-monitor-3,6.86,1.03,269.7,Safe
soil-water-monitor-1,8.04,0.16,351.4,Safe
soil-water-monitor-2,6.58,5.27,631.7,Moderate
soil-water-monitor-2,4.47,28.97,1360.1,Critical
soil-water-monitor-2,7.18,2.31,204.6,Safe
soil-water-monitor-2,6.78,0.86,328.5,Safe
soil-water-monitor-3,3.95,115.86,3664.9,Critical
soil-water-monitor-2,6.69,3.14,256.5,Safe
soil-water-monitor-2,7.23,26.53,2438.7,Unsafe
soil-water-monitor-2,7.24,1.72,399.8,Safe
soil-water-monitor-3,6.37,5.3,659.5,Safe
soil-water-monitor-1,6.63,4.36,259.7,Safe
soil-water-monitor-3,6.75,28.67,1007.7,Moderate
soil-water-monitor-3,7.62,0.86,233.3,Safe
soil-water-monitor-3,7.43,4.58,293.1,Safe
soil-water-monitor-1,6.95,15.73,1220.1,Unsafe
soil-water-monitor-1,6.92,10.32,531.0,Moderate
soil-water-monitor-1,6.99,19.9,1722.6,Unsafe
soil-water-monitor-3,7.59,2.7,139.9,Safe
soil-water-monitor-3,6.01,6.0,757.8,Moderate
soil-water-monitor-3,6.46,5.29,744.4,Moderate
soil-water-monitor-2,6.9,8.51,589.2,Moderate
soil-water-monitor-2,5.7,24.99,1401.3,Unsafe
soil-water-monitor-2,6.55,25.96,1016.5,Unsafe
soil-water-monitor-3,7.27,0.45,261.0,Safe
soil-water-monitor-3,7.08,5.73,764.6,Moderate
soil-water-monitor-2,6.36,7.54,502.9,Moderate
soil-water-monitor-1,7.99,3.13,262.7,Safe
soil-water-monitor-3,8.31,2.13,271.3,Safe
soil-water-monitor-1,7.2,1.14,204.8,Safe
soil-water-monitor-2,4.38,35.46,1911.2,Critical
soil-water-monitor-2,7.34,0.0,252.2,Safe
soil-water-monitor-2,6.35,16.0,1021.7,Unsafe
soil-water-monitor-3,5.88,70.6,2243.8,Critical
soil-water-monitor-3,7.34,0.08,392.9,Safe
soil-water-monitor-1,7.27,2.57,146.2,Safe
soil-water-monitor-1,6.44,30.83,1729.8,Unsafe
soil-water-monitor-3,7.96,3.15,317.1,Safe
soil-water-monitor-1,6.07,12.01,522.1,Unsafe
soil-water-monitor-2,7.79,2.77,127.5,Safe
soil-water-monitor-2,7.47,0.48,270.6,Safe
soil-water-monitor-1,5.59,26.26,1314.8,Unsafe
soil-water-monitor-2,6.81,0.0,339.2,Safe
soil-water-monitor-1,6.36,9.32,650.4,Moderate
soil-water-monitor-1,6.13,8.16,511.2,Moderate
soil-water-monitor-2,6.61,3.57,931.2,Safe
soil-water-monitor-1,7.78,0.96,293.4,Safe
soil-water-monitor-1,6.25,33.49,2026.6,Unsafe
soil-water-monitor-1,6.49,7.31,955.5,Moderate
soil-water-monitor-2,7.45,1.3,283.3,Safe
soil-water-monitor-1,7.43,2.87,282.3,Safe
soil-water-monitor-3,7.67,3.99,292.7,Safe
soil-water-monitor-3,6.97,27.51,1059.5,Unsafe
soil-water-monitor-2,6.31,4.24,652.9,Moderate
soil-water-monitor-1,7.44,2.78,381.1,Safe
soil-water-monitor-2,7.39,4.14,629.3,Moderate
soil-water-monitor-1,7.67,4.46,258.0,Safe
soil-water-monitor-1,6.37,5.23,830.7,Moderate
soil-water-monitor-2,7.1,1.41,414.7,Safe
soil-water-monitor-1,7.1,30.96,1019.3,Moderate
soil-water-monitor-1,6.87,3.75,219.8,Safe
soil-water-monitor-2,5.59,11.07,1688.0,Unsafe
soil-water-monitor-2,7.27,0.77,226.8,Safe
soil-water-monitor-3,8.13,1.33,339.4,Safe
soil-water-monitor-3,,2.58,328.9,Safe
soil-water-monitor-1,6.67,10.71,794.1,Moderate
soil-water-monitor-3,4.08,61.4,2160.7,Critical
soil-water-monitor-1,6.83,1.61,185.0,Safe
soil-water-monitor-3,7.39,4.34,265.1,Safe
soil-water-monitor-1,4.4,56.89,2327.2,Critical
soil-water-monitor-2,6.23,25.18,871.9,Unsafe
soil-water-monitor-3,,22.05,1666.3,Unsafe
soil-water-monitor-2,4.85,58.7,3912.3,Critical
soil-water-monitor-2,6.84,6.05,622.0,Safe
soil-water-monitor-3,6.49,6.47,725.1,Moderate
soil-water-monitor-2,6.46,8.85,765.7,Moderate
soil-water-monitor-3,6.3,18.54,743.7,Unsafe
soil-water-monitor-2,6.64,1.53,215.6,Safe
soil-water-monitor-1,7.11,3.42,274.2,Safe
soil-water-monitor-2,6.86,3.75,392.7,Safe
soil-water-monitor-2,7.29,3.09,233.7,Safe
soil-water-monitor-2,7.62,1.58,113.7,Safe
soil-water-monitor-1,6.04,23.8,1713.5,Unsafe
soil-water-monitor-2,6.97,9.19,744.6,Moderate
soil-water-monitor-3,6.03,24.93,1275.8,Unsafe
soil-water-monitor-3,8.06,0.37,300.2,Safe
soil-water-monitor-3,5.89,33.42,1258.5,Unsafe
soil-water-monitor-1,7.11,2.24,448.8,Safe
soil-water-monitor-3,6.61,17.25,1227.4,Unsafe
soil-water-monitor-1,7.35,0.0,176.5,Safe
soil-water-monitor-3,7.77,4.79,203.0,Safe
soil-water-monitor-3,7.94,3.96,155.2,Safe
soil-water-monitor-3,4.72,22.3,1452.5,Critical
soil-water-monitor-3,7.7,2.16,512.4,Safe
soil-water-monitor-3,7.74,2.53,138.2,Safe
soil-water-monitor-1,6.18,28.05,1157.8,Unsafe
soil-water-monitor-3,7.72,4.37,259.1,Safe
soil-water-monitor-3,4.32,66.59,2456.2,Critical
soil-water-monitor-3,7.33,22.23,1444.0,Unsafe
soil-water-monitor-1,7.27,1.72,204.8,Safe
soil-water-monitor-2,6.79,12.22,680.0,Moderate
soil-water-monitor-2,7.12,0.0,409.8,Safe
soil-water-monitor-3,6.81,0.49,219.4,Safe
soil-water-monitor-3,7.33,9.98,296.1,Safe
soil-water-monitor-2,6.95,6.22,573.4,Safe
soil-water-monitor-3,7.41,4.33,208.3,Safe
soil-water-monitor-2,7.36,6.01,673.2,Moderate
soil-water-monitor-1,5.2,30.03,1469.0,Unsafe
soil-water-monitor-1,6.77,24.29,1894.3,Unsafe
soil-water-monitor-3,6.07,0.03,359.0,Safe
soil-water-monitor-3,7.04,3.64,560.7,Safe
soil-water-monitor-2,7.89,1.89,423.4,Safe
soil-water-monitor-3,7.61,0.28,118.4,Safe
soil-water-monitor-3,7.33,0.24,323.6,Safe
soil-water-monitor-1,7.19,9.79,694.7,Moderate
soil-water-monitor-3,7.68,5.14,287.9,Safe
soil-water-monitor-1,5.92,5.62,635.6,Moderate
soil-water-monitor-1,6.97,5.31,801.8,Moderate
soil-water-monitor-1,6.82,2.18,377.6,Safe
soil-water-monitor-1,6.04,7.42,867.4,Moderate
soil-water-monitor-1,7.06,4.81,328.7,Safe
soil-water-monitor-2,3.55,41.4,4335.7,Critical
soil-water-monitor-2,6.83,1.59,408.1,Safe
soil-water-monitor-1,6.28,6.3,329.6,Moderate
soil-water-monitor-2,7.48,3.85,470.4,Safe
soil-water-monitor-3,5.91,9.01,876.4,Moderate
soil-water-monitor-1,6.27,5.83,682.0,Moderate
